2,2625792,2624789,1002
3,1790080,1789180,900
4,1231500,1230741,756
5,2004577,2003818,755
6,199507,198720,786
7,428666,428030,630
8,708158,707507,648
9,1664,1037,621
10,1691,1036,650
11,1684,1027,649
12,642034,641359,672
13,428345,427832,507
14,1356,818,532
15,1344,811,525
16,1372,816,544
17,1347,836,510
18,1350,820,522
19,1349,819,513
20,1344,796,540
21,1335,790,525
22,1366,804,550
23,1351,795,552
24,1356,784,552
25,1100,700,400
26,1017,608,390
27,1034,616,405
28,1051,624,420
29,1068,632,435
30,1055,610,420
31,1071,617,434
32,1055,624,416
33,1070,631,429
34,1051,638,408
35,1065,645,420
36,1043,616,396
37,1056,622,407
38,215994,215553,418
39,1043,595,429
40,1055,600,440
41,1067,605,451
42,1037,610,420
43,1048,615,430
44,1015,576,396
45,1025,580,405
46,1035,584,414
47,1045,588,423
48,1055,592,432
49,1065,596,441
50,800,500,300
51,705,402,255
52,710,404,260
53,715,406,265
54,720,408,270
55,725,410,275
56,730,412,280
57,735,414,285
58,740,416,290
59,745,418,295
60,750,420,300
61,755,422,305
62,760,424,310
63,765,426,315
64,770,428,320
65,775,430,325
66,780,432,330
67,785,434,335
68,790,436,340
69,795,438,345
70,800,440,350
71,805,442,355
72,810,444,360
73,815,446,365
74,820,448,370
75,750,450,300
76,678,376,228
77,681,377,231
78,684,378,234
79,687,379,237
80,690,380,240
81,693,381,243
82,696,382,246
83,699,383,249
84,702,384,252
85,705,385,255
86,708,386,258
87,711,387,261
88,714,388,264
89,717,389,267
90,720,390,270
91,723,391,273
92,726,392,276
93,729,393,279
94,732,394,282
95,735,395,285
96,738,396,288
97,741,397,291
98,744,398,294
99,747,399,297
100,200,100,0
